"date","update","ADM1_TH","new_case","total_case","new_death","total_death","ADM1_EN","ADM1_PCODE","Population","weeknum"
2020-01-20,9,"พระนครศรีอยุธยา",0,0,0,0,"Phra Nakhon Si Ayutthaya","TH14",998279,NA
2020-01-20,9,"พะเยา",0,0,0,0,"Phayao","TH56",313682,NA
2020-01-20,9,"พังงา",0,0,0,0,"Phangnga","TH82",254114,NA
2020-01-20,9,"พัทลุง",0,0,0,0,"Phatthalung","TH93",419456,NA
2020-01-20,9,"พิจิตร",0,0,0,0,"Phichit","TH66",475920,NA
2020-01-20,9,"พิษณุโลก",0,0,0,0,"Phitsanulok","TH65",938009,NA
2020-01-20,9,"ภูเก็ต",0,0,0,0,"Phuket","TH83",962681,NA
2020-01-20,9,"มหาสารคาม",0,0,0,0,"Maha Sarakham","TH44",655502,NA
2020-01-20,9,"มุกดาหาร",0,0,0,0,"Mukdahan","TH49",365780,NA
2020-01-20,9,"ยะลา",0,0,0,0,"Yala","TH95",409580,NA
2020-01-20,9,"ยโสธร",0,0,0,0,"Yasothon","TH35",385065,NA
2020-01-20,9,"ระนอง",0,0,0,0,"Ranong","TH85",340692,NA
2020-01-20,9,"ระยอง",0,0,0,0,"Rayong","TH21",1188389,NA
2020-01-20,9,"ราชบุรี",0,0,0,0,"Ratchaburi","TH70",721366,NA
2020-01-20,9,"ร้อยเอ็ด",0,0,0,0,"Roi Et","TH45",848096,NA
2020-01-20,9,"ลพบุรี",0,0,0,0,"Lop Buri","TH16",718935,NA
2020-01-20,9,"ลำปาง",0,0,0,0,"Lampang","TH52",632799,NA
2020-01-20,9,"ลำพูน",0,0,0,0,"Lamphun","TH51",377527,NA
2020-01-20,9,"ศรีสะเกษ",0,0,0,0,"Si Sa Ket","TH33",723648,NA
2020-01-20,9,"สกลนคร",0,0,0,0,"Sakon Nakhon","TH47",768297,NA
2020-01-20,9,"สงขลา",0,0,0,0,"Songkhla","TH90",1574431,NA
2020-01-20,9,"สตูล",0,0,0,0,"Satun","TH91",270993,NA
2020-01-20,9,"สมุทรปราการ",0,0,0,0,"Samut Prakan","TH11",2968727,NA
2020-01-20,9,"สมุทรสงคราม",0,0,0,0,"Samut Songkhram","TH75",152998,NA
2020-01-20,9,"สมุทรสาคร",0,0,0,0,"Samut Sakhon","TH74",1580413,NA
2020-01-20,9,"สระบุรี",0,0,0,0,"Saraburi","TH19",802049,NA
2020-01-20,9,"สระแก้ว",0,0,0,0,"Sa Kaeo","TH27",565874,NA
2020-01-20,9,"สิงห์บุรี",0,0,0,0,"Sing Buri","TH17",155156,NA
2020-01-20,9,"สุพรรณบุรี",0,0,0,0,"Suphan Buri","TH72",748248,NA
2020-01-20,9,"สุราษฎร์ธานี",0,0,0,0,"Surat Thani","TH84",1051922,NA
2020-01-20,9,"สุรินทร์",0,0,0,0,"Surin","TH32",860410,NA
2020-01-20,9,"สุโขทัย",0,0,0,0,"Sukhothai","TH64",596662,NA
2020-01-20,9,"หนองคาย",0,0,0,0,"Nong Khai","TH43",379636,NA
2020-01-20,9,"หนองบัวลำภู",0,0,0,0,"Nong Bua Lam Phu","TH39",438010,NA
2020-01-20,9,"อำนาจเจริญ",0,0,0,0,"Amnat Charoen","TH37",203893,NA
2020-01-20,9,"อุดรธานี",0,0,0,0,"Udon Thani","TH41",1020066,NA
2020-01-20,9,"อุตรดิตถ์",0,0,0,0,"Uttaradit","TH53",371390,NA
2020-01-20,9,"อุทัยธานี",0,0,0,0,"Uthai Thani","TH61",260998,NA
2020-01-20,9,"อุบลราชธานี",0,0,0,0,"Ubon Ratchathani","TH34",1614923,NA
2020-01-20,9,"อ่างทอง",0,0,0,0,"Ang Thong","TH15",216643,NA
2020-01-20,9,"เชียงราย",0,0,0,0,"Chiang Rai","TH57",1089821,NA
2020-01-20,9,"เชียงใหม่",0,0,0,0,"Chiang Mai","TH50",1809819,NA
2020-01-20,9,"เพชรบุรี",0,0,0,0,"Phetchaburi","TH76",456851,NA
2020-01-20,9,"เพชรบูรณ์",0,0,0,0,"Phetchabun","TH67",821626,NA
2020-01-20,9,"เลย",0,0,0,0,"Loei","TH42",446635,NA
2020-01-20,9,"แพร่",0,0,0,0,"Phrae","TH54",335189,NA
2020-01-20,9,"แม่ฮ่องสอน",0,0,0,0,"Mae Hong Son","TH58",187041,NA
2020-01-31,20,"กระบี่",0,0,0,0,"Krabi","TH81",347995,NA
2020-01-31,20,"กรุงเทพมหานคร",11,13,0,0,"Bangkok","TH10",10709136,NA
2020-01-31,20,"กาญจนบุรี",0,0,0,0,"Kanchanaburi","TH71",778936,NA
2020-01-31,20,"กาฬสินธุ์",0,0,0,0,"Kalasin","TH46",664356,NA
2020-01-31,20,"กำแพงเพชร",0,0,0,0,"Kamphaeng Phet","TH62",842777,NA
2020-01-31,20,"ขอนแก่น",0,0,0,0,"Khon Kaen","TH40",1630099,NA
2020-01-31,20,"จันทบุรี",0,0,0,0,"Chanthaburi","TH22",442591,NA
2020-01-31,20,"ฉะเชิงเทรา",0,0,0,0,"Chachoengsao","TH24",738516,NA
2020-01-31,20,"ชลบุรี",0,0,0,0,"Chon Buri","TH20",2147385,NA
2020-01-31,20,"ชัยนาท",0,0,0,0,"Chai Nat","TH18",234108,NA
2020-01-31,20,"ชัยภูมิ",0,0,0,0,"Chaiyaphum","TH36",764624,NA
2020-01-31,20,"ชุมพร",0,0,0,0,"Chumphon","TH86",441213,NA
2020-01-31,20,"ตรัง",0,0,0,0,"Trang","TH92",540949,NA
2020-01-31,20,"ตราด",0,0,0,0,"Trat","TH23",264085,NA
2020-01-31,20,"ตาก",0,0,0,0,"Tak","TH63",510728,NA
2020-01-31,20,"นครนายก",0,0,0,0,"Nakhon Nayok","TH26",227464,NA
2020-01-31,20,"นครปฐม",1,1,0,0,"Nakhon Pathom","TH73",1028904,NA
2020-01-31,20,"นครพนม",0,0,0,0,"Nakhon Phanom","TH48",449625,NA
2020-01-31,20,"นครราชสีมา",0,0,0,0,"Nakhon Ratchasima","TH30",2368321,NA
2020-01-31,20,"นครศรีธรรมราช",0,0,0,0,"Nakhon Si Thammarat","TH80",1260910,NA
2020-01-31,20,"นครสวรรค์",0,0,0,0,"Nakhon Sawan","TH60",826586,NA
2020-01-31,20,"นนทบุรี",2,2,0,0,"Nonthaburi","TH12",1940476,NA
2020-01-31,20,"นราธิวาส",0,0,0,0,"Narathiwat","TH96",610304,NA
2020-01-31,20,"น่าน",0,0,0,0,"Nan","TH55",402916,NA
2020-01-31,20,"บึงกาฬ",0,0,0,0,"Bueng Kan","TH38",306619,NA
2020-01-31,20,"บุรีรัมย์",0,0,0,0,"Buri Ram","TH31",985709,NA
2020-01-31,20,"ปทุมธานี",0,0,0,0,"Pathum Thani","TH13",2352209,NA
2020-01-31,20,"ประจวบคีรีขันธ์",1,1,0,0,"Prachuap Khiri Khan","TH77",454323,NA
2020-01-31,20,"ปราจีนบุรี",0,0,0,0,"Prachin Buri","TH25",669420,NA
2020-01-31,20,"ปัตตานี",0,0,0,0,"Pattani","TH94",557875,NA
2020-01-31,20,"พระนครศรีอยุธยา",0,0,0,0,"Phra Nakhon Si Ayutthaya","TH14",998279,NA
2020-01-31,20,"พะเยา",0,0,0,0,"Phayao","TH56",313682,NA
2020-01-31,20,"พังงา",0,0,0,0,"Phangnga","TH82",254114,NA
2020-01-31,20,"พัทลุง",0,0,0,0,"Phatthalung","TH93",419456,NA
2020-01-31,20,"พิจิตร",0,0,0,0,"Phichit","TH66",475920,NA
2020-01-31,20,"พิษณุโลก",0,0,0,0,"Phitsanulok","TH65",938009,NA
2020-01-31,20,"ภูเก็ต",1,1,0,0,"Phuket","TH83",962681,NA
2020-01-31,20,"มหาสารคาม",0,0,0,0,"Maha Sarakham","TH44",655502,NA
2020-01-31,20,"มุกดาหาร",0,0,0,0,"Mukdahan","TH49",365780,NA
2020-01-31,20,"ยะลา",0,0,0,0,"Yala","TH95",409580,NA
2020-01-31,20,"ยโสธร",0,0,0,0,"Yasothon","TH35",385065,NA
2020-01-31,20,"ระนอง",0,0,0,0,"Ranong","TH85",340692,NA
2020-01-31,20,"ระยอง",0,0,0,0,"Rayong","TH21",1188389,NA
2020-01-31,20,"ราชบุรี",0,0,0,0,"Ratchaburi","TH70",721366,NA
2020-01-31,20,"ร้อยเอ็ด",0,0,0,0,"Roi Et","TH45",848096,NA
2020-01-31,20,"ลพบุรี",0,0,0,0,"Lop Buri","TH16",718935,NA
2020-01-31,20,"ลำปาง",0,0,0,0,"Lampang","TH52",632799,NA
2020-01-31,20,"ลำพูน",0,0,0,0,"Lamphun","TH51",377527,NA
2020-01-31,20,"ศรีสะเกษ",0,0,0,0,"Si Sa Ket","TH33",723648,NA
2020-01-31,20,"สกลนคร",0,0,0,0,"Sakon Nakhon","TH47",768297,NA
2020-01-31,20,"สงขลา",0,0,0,0,"Songkhla","TH90",1574431,NA
2020-01-31,20,"สตูล",0,0,0,0,"Satun","TH91",270993,NA
2020-01-31,20,"สมุทรปราการ",0,0,0,0,"Samut Prakan","TH11",2968727,NA
2020-01-31,20,"สมุทรสงคราม",0,0,0,0,"Samut Songkhram","TH75",152998,NA
2020-01-31,20,"สมุทรสาคร",0,0,0,0,"Samut Sakhon","TH74",1580413,NA
2020-01-31,20,"สระบุรี",0,0,0,0,"Saraburi","TH19",802049,NA
2020-01-31,20,"สระแก้ว",0,0,0,0,"Sa Kaeo","TH27",565874,NA
2020-01-31,20,"สิงห์บุรี",0,0,0,0,"Sing Buri","TH17",155156,NA
